Rank,Name,Country,Office,City,Lat,Lng
217,Mykola Bychok CSsR,Australia[u],"Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",Melbourne,,
187,Giorgio Marengo IMC,Mongolia[o],Apostolic Prefect of Ulaanbaatar,Ulaanbaatar,,
201,Américo Aguiar,Portugal,Bishop of Setúbal,Setubal,,
252,George Koovakad,India,"Prefect of the Dicastery for Interreligious Dialogue[d]
(Syro-Malabar Church)",India,,
249,Rolandas Makrickas,Lithuania,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,Lithuania,,
216,Frank Leo,Canada,Archbishop of Toronto,Toronto,,
200,François-Xavier Bustillo OFMConv,France[q],Bishop of Ajaccio,Ajaccio,,
181,Virgílio do Carmo da Silva SDB,East Timor,Archbishop of Díli,Dili,,
184,Paulo Cezar Costa,Brazil,Archbishop of Brasília,Brasilia,,
138,Dieudonné Nzapalainga CSSp,Central African Republic,Archbishop of Bangui,Bangui,,
214,Roberto Repole,Italy,Archbishop of Turin and Bishop of Susa,Susa,,
227,José Tolentino de Mendonça,Portugal,Prefect of the Dicastery for Culture and Education[d],Portugal,,
196,José Cobo Cano,Spain,Archbishop of Madrid,Madrid,,
190,Pierbattista Pizzaballa OFM,Jerusalem[p],Latin Patriarch of Jerusalem,Jerusalem,,
194,Grzegorz Ryś,Poland,Archbishop of Łódź,Lodz,,
195,Stephen Ameyu Martin Mulla,South Sudan,Archbishop of Juba,Juba,,
213,Dominique Mathieu OFMConv,Iran[t],Archbishop of Tehran–Isfahan,Tehran,,
177,Peter Okpaleke,Nigeria,Bishop of Ekwulobia,Ekwulobia,,
218,Domenico Battaglia,Italy,Archbishop of Naples,Naples,,
242,Víctor Manuel Fernández,Argentina,Prefect of the Dicastery for the Doctrine of the Faith[d],Argentina,,
212,Jean-Paul Vesco OP,Algeria[s],Archbishop of Algiers,Algiers,,
193,Luis José Rueda Aparicio,Colombia,Archbishop of Bogotá,Bogota,,
135,Soane Patita Paini Mafi,Tonga,Bishop of Tonga,Tonga,,
183,Anthony Poola,India,Archbishop of Hyderabad,Hyderabad,,
211,Ignace Bessi Dogbo,Ivory Coast,Archbishop of Abidjan,Abidjan,,
210,Jaime Spengler OFM,Brazil,Archbishop of Porto Alegre,Porto Alegre,,
197,Protase Rugambwa,Tanzania,Archbishop of Tabora,Tabora,,
164,Fridolin Ambongo Besungu OFMCap,Democratic Republic of the Congo,Archbishop of Kinshasa,Kinshasa,,
140,Sérgio da Rocha,Brazil,Archbishop of São Salvador da Bahia,Sao Salvador da Bahia,,
199,Stephen Chow Sau-yan SJ,"China
(Hong Kong)[g]",Bishop of Hong Kong,Hong Kong,,
131,Daniel Sturla SDB,Uruguay,Archbishop of Montevideo,Motevideo,,
105,Baselios Cleemis,India,"Major Archbishop of Trivandrum
(Syro-Malankara Church)",Trivandru,,
208,Pablo Virgilio David,Philippines,Bishop of Kalookan,Kalookan,,
176,Jean-Marc Aveline,France,Archbishop of Marseille,Marseille,,
121,Chibly Langlois,Haiti,Bishop of Les Cayes,Les Cayes,,
170,Antoine Kambanda,Rwanda,Archbishop of Kigali,Kigali,,
207,Tarcisio Isao Kikuchi SVD,Japan,Archbishop of Tokyo,Tokyo,,
192,Ángel Sixto Rossi SJ,Argentina,Archbishop of Córdoba,Cordoba,,
165,Jean-Claude Hollerich SJ,Luxembourg,Archbishop of Luxembourg,Luxembourg City,,
