Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,June 9–13,USA,"Washington, DC",Start in DC,2021,38.9072,-77.0369
1,June 9–13,United Kingdom,Mildenhall,"Attended the47th G7 summitat theCarbis Bay Hotel. Met withQueenElizabeth IIatWindsor CastleandPrime MinisterBoris Johnson. Both Biden and Johnson issued a revision of theAtlantic Charterwhich had previously been issued by their predecessors,Franklin RooseveltandWinston Churchillrespectively, eighty years prior.[1][2]Participated in a meeting with theG7leaders and other members of theRoyal FamilyatEden Projectin Bodelva. Also met withU.S. Air Forcepersonnel atRAF Mildenhall. Stayed atTregenna Castle.[3][4]",2021,52.3455998,0.5127653
1,June 9–13,United Kingdom,St Ives,"Attended the47th G7 summitat theCarbis Bay Hotel. Met withQueenElizabeth IIatWindsor CastleandPrime MinisterBoris Johnson. Both Biden and Johnson issued a revision of theAtlantic Charterwhich had previously been issued by their predecessors,Franklin RooseveltandWinston Churchillrespectively, eighty years prior.[1][2]Participated in a meeting with theG7leaders and other members of theRoyal FamilyatEden Projectin Bodelva. Also met withU.S. Air Forcepersonnel atRAF Mildenhall. Stayed atTregenna Castle.[3][4]",2021,50.2149064,-5.4795083
1,June 9–13,United Kingdom,Bodelva,"Attended the47th G7 summitat theCarbis Bay Hotel. Met withQueenElizabeth IIatWindsor CastleandPrime MinisterBoris Johnson. Both Biden and Johnson issued a revision of theAtlantic Charterwhich had previously been issued by their predecessors,Franklin RooseveltandWinston Churchillrespectively, eighty years prior.[1][2]Participated in a meeting with theG7leaders and other members of theRoyal FamilyatEden Projectin Bodelva. Also met withU.S. Air Forcepersonnel atRAF Mildenhall. Stayed atTregenna Castle.[3][4]",2021,50.3620981,-4.7407292
1,June 9–13,United Kingdom,Windsor,"Attended the47th G7 summitat theCarbis Bay Hotel. Met withQueenElizabeth IIatWindsor CastleandPrime MinisterBoris Johnson. Both Biden and Johnson issued a revision of theAtlantic Charterwhich had previously been issued by their predecessors,Franklin RooseveltandWinston Churchillrespectively, eighty years prior.[1][2]Participated in a meeting with theG7leaders and other members of theRoyal FamilyatEden Projectin Bodelva. Also met withU.S. Air Forcepersonnel atRAF Mildenhall. Stayed atTregenna Castle.[3][4]",2021,51.4837886,-0.6040419
1,June 13–15,Belgium,Brussels,"Attended the31st NATO summit. Met withKingPhilippeandPrime MinisterAlexander De Crooat theRoyal Palace of Brussels. Held multilateral meetings with the leaders of theBaltic States,Secretary General of NATOJens Stoltenberg, andTurkish PresidentRecep Erdoğan.[5]Also participated in anEU–U.S. summit withEuropean Council presidentCharles MichelandEuropean Commission presidentUrsula von der Leyenat theEuropa Building. Stayed at theU.S. Embassy in Brussels.[6]",2021,50.8465573,4.351697
1,June 15–16,Switzerland,Geneva,"Attended thesummit meetingwithRussian PresidentVladimir PutinatVilla La Grange. Held a bilateral meeting withSwiss PresidentGuy ParmelinandSwiss Foreign MinisterIgnazio Cassisat theInterContinental Geneva, where he stayed.[7]",2021,46.2017559,6.1466014
2,October 29,USA,"Washington, DC",Start in DC,2021,38.9072,-77.0369
2,October 29,Vatican City,Vatican City,Met withPope Francisat theApostolic Palace. Also held bilateral meeting withCardinal Secretary of StatePietro Parolin.[8],2021,41.9034912,12.4528349
2,October 29 – November 1,Italy,Rome,"Met withItalian PresidentSergio MattarellaatQuirinale Palace,Italian Prime MinisterMario DraghiatChigi Palace, andFrench PresidentEmmanuel Macronat the Embassy of France. On October 30, attended theG20 summitat La Nuvola in Rome. Met withItalian Prime MinisterMario Draghi, took the customary photo with other world leaders, and attended an event on supporting women-owned businesses. Met withBritish Prime MinisterBoris Johnson,French PresidentEmmanuel Macron, and outgoingGerman ChancellorAngela Merkel. On October 31, Also held bilateral meeting withTurkish PresidentRecep Tayyip Erdoğan.[9]",2021,41.8933203,12.4829321
