Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,February 16,USA,"Washington, DC",Start in DC,2001,38.9072,-77.0369
1,February 16,Mexico,San Cristóbal,"Met with PresidentVincente Fox; discussed trade, energy,migration, educational opportunities, and thebattle againsttheillegal drug trade.[2]",2001,16.735377,-92.63873
2,April 20–22,USA,"Washington, DC",Start in DC,2001,38.9072,-77.0369
2,April 20–22,Canada,Quebec City,Attended the3rd Summit of the Americas.,2001,46.8137431,-71.2084061
3,June 12–13,USA,"Washington, DC",Start in DC,2001,38.9072,-77.0369
3,June 12–13,Spain,Madrid,Met with KingJuan Carlos Iat theRoyal Palace of Madridand later with Prime MinisterJosé María Aznarat thePalace of Moncloa. The President stayed at the Hotel Miguel Angel during his overnight visit.,2001,40.4167047,-3.7035825
3,June 13–14,Belgium,Brussels,Attended theNATO Summit Meeting. Met with KingAlbert IIand Prime MinisterGuy Verhofstadt. The President visitedChocolatier Maryduring his visit.,2001,50.8465573,4.351697
3,June 14–15,Sweden,Gothenburg,"Attended the U.S.-EU Summit Meeting. Met with KingCarl XVI Gustafand Prime MinisterGöran Persson, becoming the first U.S. president to visit the country. The President stayed at the Radisson Blu Scandinavia Hotel during his overnight visit.",2001,57.7072326,11.9670171
3,June 15–16,Poland,Warsaw,State Visit. Met with PresidentAleksander Kwaśniewskiat thePresidential Palaceand Prime MinisterJerzy Buzek. The President delivered a foreign policy speech in front of faculty and students atWarsaw Universityduring his visit. He also participated in a wreath-laying ceremony at theTomb of the Unknown SoldierinPiłsudski Square. The President stayed at the Warsaw Marriott Hotel during his overnight visit.,2001,52.2319581,21.0067249
3,June 16,Slovenia,Kranj,Attended thesummit meetingwith Russian presidentVladimir Putin. Also met with Prime MinisterJanez Drnovšek.,2001,46.2432913,14.3549353
4,July 18–20,USA,"Washington, DC",Start in DC,2001,38.9072,-77.0369
4,July 18–20,United Kingdom,London,"President and Mrs. Bush arrived in London on the evening of July 18. On July 19, the President met with M.P.William Hague, Leader of the Conservative Party, atWinfield House. President and Mrs. Bush later attended an event for children at theBritish Museum. The President also visited theChurchill War Roomsmuseum.  In the afternoon, President and Mrs. Bush participated in an arrival ceremony atBuckingham Palaceand attended a luncheon hosted byQueen Elizabeth. They later traveled toChequersto meet with Prime MinisterTony Blairand his wifeCheriebefore spending the night at the prime minister's country estate.",2001,51.5074456,-0.1277653
4,July 18–20,United Kingdom,Chequers,"President and Mrs. Bush arrived in London on the evening of July 18. On July 19, the President met with M.P.William Hague, Leader of the Conservative Party, atWinfield House. President and Mrs. Bush later attended an event for children at theBritish Museum. The President also visited theChurchill War Roomsmuseum.  In the afternoon, President and Mrs. Bush participated in an arrival ceremony atBuckingham Palaceand attended a luncheon hosted byQueen Elizabeth. They later traveled toChequersto meet with Prime MinisterTony Blairand his wifeCheriebefore spending the night at the prime minister's country estate.",2001,51.8533018,-2.2275661
4,July 18–20,United Kingdom,Halton,"President and Mrs. Bush arrived in London on the evening of July 18. On July 19, the President met with M.P.William Hague, Leader of the Conservative Party, atWinfield House. President and Mrs. Bush later attended an event for children at theBritish Museum. The President also visited theChurchill War Roomsmuseum.  In the afternoon, President and Mrs. Bush participated in an arrival ceremony atBuckingham Palaceand attended a luncheon hosted byQueen Elizabeth. They later traveled toChequersto meet with Prime MinisterTony Blairand his wifeCheriebefore spending the night at the prime minister's country estate.",2001,53.3538525,-2.7427829
4,July 18–20,United Kingdom,Brize Norton,"President and Mrs. Bush arrived in London on the evening of July 18. On July 19, the President met with M.P.William Hague, Leader of the Conservative Party, atWinfield House. President and Mrs. Bush later attended an event for children at theBritish Museum. The President also visited theChurchill War Roomsmuseum.  In the afternoon, President and Mrs. Bush participated in an arrival ceremony atBuckingham Palaceand attended a luncheon hosted byQueen Elizabeth. They later traveled toChequersto meet with Prime MinisterTony Blairand his wifeCheriebefore spending the night at the prime minister's country estate.",2001,51.7664356,-1.5664074
