Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,February 10,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
1,February 10,Canada,Ottawa,Met with Prime MinisterBrian Mulroney.,1989,45.4208777,-75.6901106
2,February 23–25,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
2,February 23–25,Japan,Tokyo,"Attended thefuneral of Emperor Hirohito. Met with EmperorAkihitoof Japan, the kings of Belgium, Jordan and Spain, the presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal and Zaire, and the prime ministers of Japan, Pakistan, Singapore, Thailand and Turkey.",1989,35.6768601,139.7638947
2,February 25–27,China,Beijing,Met with PresidentYang Shangkunand PremierLi Peng. Also met with PrinceSihanoukof Cambodia.,1989,40.190632,116.412144
2,February 27,South Korea,Seoul,Official visit. Addressed theNational Assembly.,1989,37.5666791,126.9782914
3,May 26–28,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
3,May 26–28,Italy,Rome,Met with PresidentFrancesco Cossigaand Prime MinisterCiriaco De Mita.,1989,41.8933203,12.4829321
3,May 26–28,Italy,Nettuno,Met with PresidentFrancesco Cossigaand Prime MinisterCiriaco De Mita.,1989,41.4575382,12.661425
3,May 27,Vatican City,Apostolic Palalce,Audience with PopeJohn Paul II.,1989,41.90236,12.45332
3,May 28–30,Belgium,Brussels,"Attended the NATO Summit Meeting. Present were the heads of state and government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.",1989,50.8465573,4.351697
3,May 30–31,West Germany,Bonn,Met with ChancellorHelmut Kohl.,1989,50.7842863,7.2605602
3,May 30–31,West Germany,Mainz,Met with ChancellorHelmut Kohl.,1989,50.090568,8.5210722
3,May 31 – June 2,United Kingdom,London,Met withQueen Elizabeth IIand Prime MinisterMargaret Thatcher.,1989,51.5074456,-0.1277653
4,July 9–11,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
4,July 9–11,Poland,Warsaw,Met with government andSolidarityleaders. Addressed theNational Assembly.,1989,52.2319581,21.0067249
4,July 9–11,Poland,Gdańsk,Met with government andSolidarityleaders. Addressed theNational Assembly.,1989,54.3482907,18.6540233
4,July 11–13,Hungary,Budapest,Met with Hungarian officials. Delivered an address atKarl Marx University.,1989,47.4978789,19.0402383
4,July 13–17,France,Paris,Attended the15th G7 summit. Also attended ceremonies for the bicentennial of the French Revolution. Met with Ivorian PresidentFélix Houphouët-Boigny.,1989,48.8588897,2.320041
4,July 17–18,Netherlands,The HagueLeiden,Met withQueen Beatrixand Prime MinisterRuud Lubbers. Delivered a public address.,1989,52.25,5.75
5,October 27–28,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
5,October 27–28,Costa Rica,San José,Attended the Hemispheric Summit Meeting.,1989,9.9325427,-84.0795782
6,December 1–3,USA,"Washington, DC",Start in DC,1989,38.9072,-77.0369
6,December 1–3,Malta,Valletta,Attended theSummit Meetingwith Soviet General SecretaryMikhail Gorbachev. Also met with Maltese Prime MinisterEddie Fenech Adami.,1989,35.8989979,14.5136607
