Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,May 5–11,USA,"Washington, DC",Start in DC,1977,38.9072,-77.0369
1,May 5–11,United Kingdom,London,"Attended the3rd G7 summit. Also met with the prime ministers of Greece, Belgium, Turkey, Norway, the Netherlands and Luxembourg, and with the President of Portugal. Addressed NATO Ministers meeting.",1977,51.5074456,-0.1277653
1,May 5–11,United Kingdom,Newcastle,"Attended the3rd G7 summit. Also met with the prime ministers of Greece, Belgium, Turkey, Norway, the Netherlands and Luxembourg, and with the President of Portugal. Addressed NATO Ministers meeting.",1977,54.9738474,-1.6131572
1,May 9,Switzerland,Geneva,Official visit. Met with PresidentKurt Furgler. Also met with Syrian PresidentHafez al-Assad.,1977,46.2017559,6.1466014
2,December 29–31,USA,"Washington, DC",Start in DC,1977,38.9072,-77.0369
2,December 29–31,Polish People's Republic,Warsaw,"Official visit. Met with First SecretaryEdward Gierek. The visit garnered notoriety among Poles in subsequent years due to Carter's goodwill speech, which was mistranslated as a series of incoherent and anti-Polish remarks.[3]",1977,52.22977,21.01178
2,"December 31 – January 1, 1978",Imperial State of Iran,Tehran,"Official visit. Met with ShahMohammad Reza Pahlaviand KingHussein of Jordan. Carter gave his ""Island of Stability"" speech during this visit.",1977,32.0,53.0
2,January 1–3,USA,"Washington, DC",Start in DC,1978,38.9072,-77.0369
2,January 1–3,India,New Delhi,Met with PresidentNeelam Sanjiva Reddyand Prime MinisterMorarji Desai. AddressedParliament of India.,1978,28.6430858,77.2192671
2,January 1–3,India,Daulatpur Nasirabad[4],Met with PresidentNeelam Sanjiva Reddyand Prime MinisterMorarji Desai. AddressedParliament of India.,1978,26.30473,74.73364
2,January 3–4,Saudi Arabia,Riyadh,Met with KingKhalidand Crown PrinceFahd.,1978,24.638916,46.7160104
2,January 4,Egypt,Aswan,Met with PresidentAnwar Sadatand German ChancellorHelmut Schmidt.,1978,24.091071,32.897306
2,January 4–6,France,Paris,Met with PresidentValéry Giscard d'Estaingand Prime MinisterRaymond Barre.,1978,48.8588897,2.320041
2,January 4–6,France,Normandy,Met with PresidentValéry Giscard d'Estaingand Prime MinisterRaymond Barre.,1978,49.0677708,0.3138532
2,January 4–6,France,Bayeux,Met with PresidentValéry Giscard d'Estaingand Prime MinisterRaymond Barre.,1978,49.2764624,-0.7024738
2,January 4–6,France,Versailles,Met with PresidentValéry Giscard d'Estaingand Prime MinisterRaymond Barre.,1978,48.8035403,2.1266886
2,January 6,Belgium,Brussels,Met with King Baudouin and Prime MinisterLeo Tindemans. Attended meetings of the Commission of the European Communities and the North Atlantic Council.,1978,50.8465573,4.351697
3,March 28–29,USA,"Washington, DC",Start in DC,1978,38.9072,-77.0369
3,March 28–29,Venezuela,Caracas,Met with PresidentCarlos Andrés Pérez. AddressedCongressand signedmaritime boundaryagreement.,1978,10.5060934,-66.9146008
3,March 29–31,Brazil,BrasíliaRio de Janeiro,Official visit. Met with PresidentErnesto Geiseland addressed National Congress.,1978,-10.0,-55.0
3,March 31 – April 3,Nigeria,Lagos,State visit. Met with PresidentOlusegun Obasanjo.,1978,6.4550575,3.3941795
3,April 3,Liberia,Monrovia,"Met with PresidentWilliam R. Tolbert, Jr.",1978,6.328034,-10.797788
4,June 16–17,USA,"Washington, DC",Start in DC,1978,38.9072,-77.0369
4,June 16–17,Panama,Panama City,"Invited by PresidentDemetrio B. Lakasand GeneralOmar Torrijosto sign protocol confirming exchange of documents ratifyingPanama Canal treaties. Also met informally with Venezuelan President Carlos Andrés Pérez, Colombian PresidentAlfonso López Michelsen, Mexican PresidentJosé López Portillo, Costa RicanRodrigo Carazo Odioand Jamaican Prime MinisterMichael Manley.",1978,8.9714493,-79.5341802
5,July 14–15,USA,"Washington, DC",Start in DC,1978,38.9072,-77.0369
5,July 14–15,West Germany,Bonn,State visit. Met with PresidentWalter Scheeland Chancellor Helmut Schmidt. Addressed U.S. and German military personnel.,1978,50.7842863,7.2605602
5,July 14–15,West Germany,Wiesbaden-Erbenheim,State visit. Met with PresidentWalter Scheeland Chancellor Helmut Schmidt. Addressed U.S. and German military personnel.,1978,50.05617,8.30283
5,July 14–15,West Germany,Frankfurt,State visit. Met with PresidentWalter Scheeland Chancellor Helmut Schmidt. Addressed U.S. and German military personnel.,1978,50.1050925,8.5859703
5,July 15,West Germany,West Berlin,Spoke at theBerlin Airlift Memorial.,1978,52.5601976,12.9823712
5,July 16–17,West Germany,Bonn,Attended the4th G7 summit.,1978,50.7842863,7.2605602
