Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,April 3–4,USA,"Washington, DC",Start in DC,1993,38.9072,-77.0369
1,April 3–4,Canada,Vancouver,Attended Summit Meeting with Russian presidentBoris Yeltsin. Also met with Prime MinisterBrian Mulroney.,1993,49.2608724,-123.113952
2,July 6–10,USA,"Washington, DC",Start in DC,1993,38.9072,-77.0369
2,July 6–10,Japan,Tokyo,Attended the19th G7 summit. Met with Russian President Boris Yeltsin.,1993,35.6768601,139.7638947
2,July 10–11,South Korea,Seoul,Met with PresidentKim Young-sam. Addressed the South Korean National Assembly. Visited U.S. military personnel.,1993,37.5666791,126.9782914
3,January 9–11,USA,"Washington, DC",Start in DC,1994,38.9072,-77.0369
3,January 9–11,Belgium,Brussels,Attended theNATO Summit Meeting. Met with KingAlbert IIand Prime MinisterJean-Luc Dehaene.,1994,50.8465573,4.351697
3,January 11–12,Czech Republic,Prague,"Met with the Presidents and Prime Ministers of the Czech Republic, Hungary, Poland and Slovakia.",1994,50.0596288,14.4464593
3,January 12,Ukraine,Kyiv,Met with PresidentLeonid Kravchuk.,1994,50.4500336,30.5241361
3,January 12–15,Russia,Moscow,Met with President Boris Yeltsin and senior Russian officials. Signed nuclear disarmament agreement with Ukraine.,1994,55.625578,37.6063916
3,January 15,Belarus,Minsk,Met with ChairmanStanislav Shushkevich.[2][3][4][5],1994,53.9024716,27.5618225
3,January 15–16,Switzerland,Geneva,Met with Syrian presidentHafez al-Assad.,1994,46.2017559,6.1466014
4,June 2–4,USA,"Washington, DC",Start in DC,1994,38.9072,-77.0369
4,June 2–4,Italy,Rome,Met with Prime MinisterSilvio Berlusconiand PresidentOscar Luigi Scalfaro. Visited U.S. Military Cemetery.,1994,41.8933203,12.4829321
4,June 2–4,Italy,Nettuno,Met with Prime MinisterSilvio Berlusconiand PresidentOscar Luigi Scalfaro. Visited U.S. Military Cemetery.,1994,41.4575382,12.661425
4,June 2,Vatican City,Apostolic Palace,Audience withPope John Paul II.,1994,41.9032459,12.4551867
4,June 4–5,United Kingdom,Cambridge,"Visited U.S. Military Cemetery. Met with Prime MinisterJohn Major. Attended state dinner withQueen Elizabeth IIand heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway and Belgium. Attended the 50th anniversary of D-Day commemorative ceremonies.",1994,52.2055314,0.1186637
4,June 4–5,United Kingdom,London,"Visited U.S. Military Cemetery. Met with Prime MinisterJohn Major. Attended state dinner withQueen Elizabeth IIand heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway and Belgium. Attended the 50th anniversary of D-Day commemorative ceremonies.",1994,51.5074456,-0.1277653
4,June 4–5,United Kingdom,Portsmouth,"Visited U.S. Military Cemetery. Met with Prime MinisterJohn Major. Attended state dinner withQueen Elizabeth IIand heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway and Belgium. Attended the 50th anniversary of D-Day commemorative ceremonies.",1994,50.800031,-1.0906023
4,June 6–8,France,Colleville,Attended the 50th anniversary ofD-Daymemorial ceremonies. Met with PresidentFrançois Mitterrandand senior French officials. Addressed theFrench National Assembly.,1994,49.7492373,0.452349
4,June 6–8,France,Paris,Attended the 50th anniversary ofD-Daymemorial ceremonies. Met with PresidentFrançois Mitterrandand senior French officials. Addressed theFrench National Assembly.,1994,48.8588897,2.320041
4,June 8,United Kingdom,Oxford,Received honorary degree fromOxford University.,1994,51.7520131,-1.2578499
5,July 6,USA,"Washington, DC",Start in DC,1994,38.9072,-77.0369
5,July 6,Latvia,Riga,Met with the Presidents of the Baltic states.,1994,56.9493977,24.1051846
5,July 6–7,Poland,Warsaw,Addressed the Polish Parliament. Attended ceremonies commemorating theWarsaw Ghetto Uprising.,1994,52.2319581,21.0067249
5,July 7–10,Italy,Naples,"Attended the20th G7 summit. Met with Italian prime minister Silvio Berlusconi, Japanese prime ministerTomiichi Murayama, Canadian prime ministerJean Chrétienand Russian president Boris Yeltsin.",1994,40.8358846,14.2487679
5,July 10–12,Germany,Bonn,Met with ChancellorHelmut Kohland German political leaders. Delivered a public address at theBrandenburg Gate. Attended deactivation ceremony for theBerlin Brigade.,1994,50.7352621,7.1024635
5,July 10–12,Germany,Ludwigshafen,Met with ChancellorHelmut Kohland German political leaders. Delivered a public address at theBrandenburg Gate. Attended deactivation ceremony for theBerlin Brigade.,1994,49.4704113,8.4381568
5,July 10–12,Germany,Berlin,Met with ChancellorHelmut Kohland German political leaders. Delivered a public address at theBrandenburg Gate. Attended deactivation ceremony for theBerlin Brigade.,1994,52.510885,13.3989367
6,October 25–26,USA,"Washington, DC",Start in DC,1994,38.9072,-77.0369
6,October 25–26,Egypt,Cairo,Met with PresidentHosni MubarakandPLO ChairmanYasser Arafat.,1994,30.0443879,31.2357257
6,October 26–27,Jordan,Aqaba,Attended the signing of theIsrael-Jordan peace agreement. Addressed theJordanian Parliament.,1994,29.5266483,35.0075433
6,October 26–27,Jordan,Wadi Arava,Attended the signing of theIsrael-Jordan peace agreement. Addressed theJordanian Parliament.,1994,31.0,36.0
6,October 26–27,Jordan,Amman,Attended the signing of theIsrael-Jordan peace agreement. Addressed theJordanian Parliament.,1994,31.9515694,35.9239625
6,October 27,Syria,Damascus,Met with President Hafez al-Assad.,1994,33.5130695,36.3095814
6,October 27–28,Israel,Jerusalem,Met with senior Israeli officials. Addressed theKnesset.,1994,31.7788242,35.2257626
6,October 28,Kuwait,Kuwait City,Met with EmirJaber Al-Ahmad Al-Sabah. Addressed U.S. military personnel.,1994,29.3796532,47.9734174
6,October 28,Saudi Arabia,King Khalid Military City,Met with KingFahd.,1994,27.982169,45.5450502
7,November 12–13,USA,"Washington, DC",Start in DC,1994,38.9072,-77.0369
7,November 12–13,Philippines,Manila,State visit. Met with PresidentFidel V. Ramos. VisitedWorld War IIbattlegrounds of Corregidor Island.,1994,14.5904492,120.9803621
7,November 12–13,Philippines,Corregidor Island,State visit. Met with PresidentFidel V. Ramos. VisitedWorld War IIbattlegrounds of Corregidor Island.,1994,14.3831744,120.5739501
7,November 13–16,Indonesia,Jakarta,State visit. Attended theAPEC Summit Meeting.,1994,-6.1754049,106.827168
7,November 13–16,Indonesia,Bogor,State visit. Attended theAPEC Summit Meeting.,1994,-6.5962986,106.7972421
