Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"December 2–5, 1952",USA,"Washington, DC",Start in DC,1952,38.9072,-77.0369
1,"December 2–5, 1952",South Korea,Seoul,Visit toKorean combat zone.(Visit made as president-elect.),1952,37.5666791,126.9782914
2,"October 19, 1953",USA,"Washington, DC",Start in DC,1953,38.9072,-77.0369
2,"October 19, 1953",Mexico,Nueva Ciudad Guerrero,"Dedication ofFalcon Dam, with PresidentAdolfo Ruiz Cortines.[152]",1953,26.5634911,-99.2273148
3,"November 13–15, 1953",USA,"Washington, DC",Start in DC,1953,38.9072,-77.0369
3,"November 13–15, 1953",Canada,Ottawa,State visit. Met with Governor GeneralVincent Masseyand Prime MinisterLouis St. Laurent. Addressed Parliament.,1953,45.4208777,-75.6901106
4,"December 4–8, 1953",USA,"Washington, DC",Start in DC,1953,38.9072,-77.0369
4,"December 4–8, 1953",Bermuda,Hamilton,Attended theBermuda Conferencewith Prime Minister Winston Churchill and French Prime MinisterJoseph Laniel.,1953,32.2942679,-64.7853167
5,"July 16–23, 1955",USA,"Washington, DC",Start in DC,1955,38.9072,-77.0369
5,"July 16–23, 1955",Switzerland,Geneva,"Attended theGeneva Summitwith British Prime MinisterAnthony Eden, French PremierEdgar Faureand Soviet PremierNikolai Bulganin.",1955,46.2017559,6.1466014
6,"July 21–23, 1956",USA,"Washington, DC",Start in DC,1956,38.9072,-77.0369
6,"July 21–23, 1956",Panama,Panama City,Attended the meeting of the presidents of the American republics.,1956,8.9714493,-79.5341802
7,"March 20–24, 1957",USA,"Washington, DC",Start in DC,1957,38.9072,-77.0369
7,"March 20–24, 1957",Bermuda,Hamilton,Met with Prime MinisterHarold Macmillan.,1957,32.2942679,-64.7853167
8,"December 14–19, 1957",USA,"Washington, DC",Start in DC,1957,38.9072,-77.0369
8,"December 14–19, 1957",France,Paris,Attended theFirst NATO summit.,1957,48.8588897,2.320041
9,"July 8–11, 1958",USA,"Washington, DC",Start in DC,1958,38.9072,-77.0369
9,"July 8–11, 1958",Canada,Ottawa,Informal visit. Met with Governor General Vincent Massey and Prime MinisterJohn Diefenbaker. Addressed Parliament.,1958,45.4208777,-75.6901106
10,"February 19–20, 1959",USA,"Washington, DC",Start in DC,1959,38.9072,-77.0369
10,"February 19–20, 1959",Mexico,Acapulco,Informal meeting with PresidentAdolfo López Mateos.,1959,16.8680495,-99.8940182
11,"June 26, 1959",USA,"Washington, DC",Start in DC,1959,38.9072,-77.0369
11,"June 26, 1959",Canada,Montreal,Joined QueenElizabeth IIin ceremony opening theSt. Lawrence Seaway.,1959,45.5031824,-73.5698065
