Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"February 6–14, 1933",USA,"Washington, DC",Start in DC,1933,38.9072,-77.0369
1,"February 6–14, 1933",The Bahamas,,Fishing trip. (Visit made as President-elect.),1933,24.7736546,-78.0000547
2,"June 29 – July 1, 1933",USA,"Washington, DC",Start in DC,1933,38.9072,-77.0369
2,"June 29 – July 1, 1933",Canada,Campobello Island,Vacation.,1933,44.8938472,-66.9193702
3,"March 29 – April 11, 1934",USA,"Washington, DC",Start in DC,1934,38.9072,-77.0369
3,"March 29 – April 11, 1934",The Bahamas,Elbow Cay,Fishing trip.,1934,26.5288141,-76.967492
3,"March 29 – April 11, 1934",The Bahamas,Gun Cay.[251],Fishing trip.,1934,26.6731215,-77.2982965
4,"July 5–6, 1934",USA,"Washington, DC",Start in DC,1934,38.9072,-77.0369
4,"July 5–6, 1934",Haiti,Cap Haitien,Informal visit en route to vacation inHawaii.,1934,19.7595236,-72.2008068
4,"July 5–6, 1934",Haiti,Cap Haitien,Informal visit en route to vacation inHawaii.,1934,19.7595236,-72.2008068
4,"July 5–6, 1934",Haiti,Cap Haitien,Informal visit en route to vacation inHawaii.,1934,19.7595236,-72.2008068
5,"March 27 – April 6, 1935",USA,"Washington, DC",Start in DC,1935,38.9072,-77.0369
5,"March 27 – April 6, 1935",The Bahamas,Cat Cays,Fishing trip.,1935,25.53333,-79.28333
5,"March 27 – April 6, 1935",The Bahamas,Lobos Cay,Fishing trip.,1935,22.3798045,-77.5867118
5,"March 27 – April 6, 1935",The Bahamas,Great Inagua Island,Fishing trip.,1935,21.0741312,-73.3129702
5,"March 27 – April 6, 1935",The Bahamas,Crooked Island[251],Fishing trip.,1935,22.894,-74.036739
6,"October 16, 1935",USA,"Washington, DC",Start in DC,1935,38.9072,-77.0369
6,"October 16, 1935",Panama,Balboa,"Informal visit with PresidentHarmodio Arias Madridwhile returning to Washington, D.C. from the U.S.West Coast.",1935,8.9495435,-79.5529019
7,"March 24 – April 7, 1936",USA,"Washington, DC",Start in DC,1936,38.9072,-77.0369
7,"March 24 – April 7, 1936",The Bahamas,Great Inagua Island,"Fishing trip. Luncheon with GovernorBede Cliffordand the president of theLegislative Council, George Johnson.[252]",1936,21.0741312,-73.3129702
7,"March 24 – April 7, 1936",The Bahamas,Nassau,"Fishing trip. Luncheon with GovernorBede Cliffordand the president of theLegislative Council, George Johnson.[252]",1936,25.0782266,-77.3383438
8,"July 28–30, 1936",USA,"Washington, DC",Start in DC,1936,38.9072,-77.0369
8,"July 28–30, 1936",Canada,Campobello Island,Vacation.,1936,44.8938472,-66.9193702
8,"July 28–30, 1936",Canada,Campobello Island,Vacation.,1936,44.8938472,-66.9193702
9,"November 21, 1936",USA,"Washington, DC",Start in DC,1936,38.9072,-77.0369
9,"November 21, 1936",Trinidad and Tobago,Port of Spain,Stopped on the way toSouth America.,1936,10.6572678,-61.5180173
9,"November 27, 1936",Brazil,Rio de Janeiro,AddressedBrazilian Congress.,1936,-22.9110137,-43.2093727
9,"November 30 –December 2, 1936",Argentina,Buenos Aires,Attended session ofInter-American Conference for the Maintenance of Peace.,1936,-34.6083696,-58.4440583
9,"December 3, 1936",Uruguay,Montevideo,Official visit. Met with PresidentGabriel Terra.,1936,-34.9058916,-56.1913095
9,"December 11, 1936",Trinidad and Tobago,Port of Spain,Stopped while returning to the United States.,1936,10.6572678,-61.5180173
10,"August 4–5, 1938",USA,"Washington, DC",Start in DC,1938,38.9072,-77.0369
10,"August 4–5, 1938",Panama,Balboa,Informal visit with PresidentJuan Demóstenes Arosemenaduring vacation in the Caribbean.,1938,8.9495435,-79.5529019
11,"August 18, 1938",USA,"Washington, DC",Start in DC,1938,38.9072,-77.0369
11,"August 18, 1938",Canada,Kingston,"Receivedhonorary degreefromQueen's Universityand together with Prime MinisterWilliam Lyon Mackenzie King, and the lieutenant governor of Ontario,Albert Edward Matthews, dedicated theThousand Islands Bridge.",1938,44.3054151,-76.4283781
12,"August 14–16, 1939",USA,"Washington, DC",Start in DC,1939,38.9072,-77.0369
12,"August 14–16, 1939",Canada,Campobello Island,Vacation.,1939,44.8938472,-66.9193702
12,"August 14–16, 1939",Canada,Sydney,Vacation.,1939,46.1382112,-60.1941912
12,"August 14–16, 1939",Canada,Campobello Island,Vacation.,1939,44.8938472,-66.9193702
12,"August 14–16, 1939",Canada,Sydney,Vacation.,1939,46.1382112,-60.1941912
12,"August 14–16, 1939",Canada,Campobello Island,Vacation.,1939,44.8938472,-66.9193702
12,"August 14–16, 1939",Canada,Sydney,Vacation.,1939,46.1382112,-60.1941912
13,"February 27, 1940",USA,"Washington, DC",Start in DC,1940,38.9072,-77.0369
13,"February 27, 1940",Panama,Cristóbal,Met informally with PresidentAugusto Samuel Boydduring vacation.,1940,9.2578758,-79.9071872
13,"February 27, 1940",Panama,Balboa,Met informally with PresidentAugusto Samuel Boydduring vacation.,1940,8.9495435,-79.5529019
14,"December 5, 1940",USA,"Washington, DC",Start in DC,1940,38.9072,-77.0369
14,"December 5, 1940",Jamaica,Kingston,Inspected British base sites for possible American use.,1940,17.9712148,-76.7928128
14,"December 8, 1940",Saint Lucia,,Inspected British base sites for possible American use.,1940,13.8250489,-60.975036
14,"December 8, 1940",Martinique,Fort Saint Louis,Conferred with U.S. officials.,1940,14.5997077,-61.0663293
14,"December 9, 1940",British Leeward Islands,Antigua,Inspected British base sites for possible American use.,1940,-16.66667,-151.5
14,"December 12–13, 1940",The Bahamas,EleutheraIsland,"Inspected British base sites for possible American use. Met with the governor, H.R.H. theDuke of Windsor. Returned to the U.S. on December 14.",1940,25.04082,-77.37122
15,"August 9–12, 1941",USA,"Washington, DC",Start in DC,1941,38.9072,-77.0369
15,"August 9–12, 1941",Newfoundland,Argentia,Conferred with British prime ministerWinston Churchillaboard ship (HMSPrince of WalesandUSSAugusta) inPlacentia Bay. At the conclusion of the conference they issued theAtlantic Charter.[253],1941,47.2902236,-53.9917654
16,"January 11, 1943",USA,"Washington, DC",Start in DC,1943,38.9072,-77.0369
16,"January 11, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route toAfrica.,1943,10.6572678,-61.5180173
16,"January 11, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route toAfrica.,1943,10.6572678,-61.5180173
16,"January 11, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route toAfrica.,1943,10.6572678,-61.5180173
16,"January 14–25, 1943",Morocco,Casablanca,AttendedCasablanca Conferencewith British Prime Minister Winston Churchill.,1943,33.5945144,-7.6200284
16,"January 25, 1943",The Gambia,Bathurst,Overnight stop en route from Casablanca.,1943,13.45535,-16.575646
16,"January 26–27, 1943",Liberia,Monrovia,Informal visit. Met with PresidentEdwin Barclay.,1943,6.328034,-10.797788
16,"January 28, 1943",Brazil,Natal,Informal visit. Met with PresidentGetúlio Vargas.,1943,-5.805398,-35.2080905
16,"January 29, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route from Casablanca.,1943,10.6572678,-61.5180173
17,"April 20, 1943",USA,"Washington, DC",Start in DC,1943,38.9072,-77.0369
17,"April 20, 1943",Mexico,Monterrey,Part of an exchange of visits with PresidentManuel Ávila Camachoacross the border.,1943,25.6802019,-100.315258
18,"August 17–25, 1943",USA,"Washington, DC",Start in DC,1943,38.9072,-77.0369
18,"August 17–25, 1943",Canada,Quebec CityOttawa,"Attended FirstQuebec Conferencewith Prime Minister William Lyon Mackenzie King and British prime minister Winston Churchill. Addressed senators, Members of Parliament, and the general public outside the houses of parliament.[254]",1943,60.10867,-113.64258
19,"November 20–21, 1943",USA,"Washington, DC",Start in DC,1943,38.9072,-77.0369
19,"November 20–21, 1943",French Algeria,Oran,Disembarked.,1943,28.0,3.0
19,"November 21–22, 1943",Tunisia,Tunis,Overnight stop.,1943,33.8439408,9.400138
19,"November 22–26, 1943",Egypt,Cairo,Attended FirstCairo Conferencewith British prime minister Winston Churchill and Chinese leaderChiang Kai-shek.,1943,30.0443879,31.2357257
19,"November 27 –December 2, 1943",Iran,Tehran,AttendedTehran Conferencewith Soviet PremierJoseph Stalinand British Prime Minister Winston Churchill.,1943,35.6892523,51.3896004
19,"December 2–7, 1943",Egypt,Cairo,AttendedSecond Cairo Conferencewith British prime minister Winston Churchill and Turkish presidentİsmet İnönü.,1943,30.0443879,31.2357257
19,"December 7–9, 1943",Tunisia,Tunis,Conferred withGeneral Dwight Eisenhower.,1943,33.8439408,9.400138
19,"December 8, 1943",Malta,Valletta,VisitedAllied military installations,1943,35.8989979,14.5136607
19,"December 8, 1943",Italy,Castelvetrano,Visited Allied military installations,1943,37.6828513,12.7955336
19,"December 9, 1943",Senegal,Dakar,Re-embarked for the U.S.,1943,14.693425,-17.447938
20,"September 11–16, 1944",USA,"Washington, DC",Start in DC,1944,38.9072,-77.0369
20,"September 11–16, 1944",Canada,Quebec City,AttendedSecond Quebec Conferencewith British prime minister Winston Churchill and theAlliedCombined Chiefs of Staff.,1944,46.8137431,-71.2084061
21,"February 2, 1945",USA,"Washington, DC",Start in DC,1945,38.9072,-77.0369
21,"February 2, 1945",Malta,Floriana,AttendedMalta Conferencewith Prime Minister Winston Churchill.,1945,35.8929838,14.5052716
21,"February 3–12, 1945",Soviet Union,Yalta,AttendedYalta Conferencewith Soviet Premier Joseph Stalin and British Prime Minister Winston Churchill.,1945,44.423953,34.0547074
21,"February 13–15, 1945",Egypt,Great Bitter Lake,"Met with KingFarouk, Ethiopian emperorHaile Selassie, Saudi Arabian kingIbn Saud, and British prime minister Winston Churchill.",1945,30.3231662,32.3815715
21,"February 13–15, 1945",Egypt,Suez Canal,"Met with KingFarouk, Ethiopian emperorHaile Selassie, Saudi Arabian kingIbn Saud, and British prime minister Winston Churchill.",1945,30.6052767,32.3331003
21,"February 13–15, 1945",Egypt,Alexandria,"Met with KingFarouk, Ethiopian emperorHaile Selassie, Saudi Arabian kingIbn Saud, and British prime minister Winston Churchill.",1945,31.1991806,29.8951716
21,"February 18, 1945",French Algeria,Algiers,"BriefedU.S. ambassadorsto the United Kingdom, France, and Italy on the Yalta Conference.",1945,28.0,3.0
