Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"October 21, 1974",USA,"Washington, DC","Return to Washington, DC",1974,38.9072,-77.0369
1,"October 21, 1974",Mexico,Nogales,Met with PresidentLuis Echeverríaand laid a wreath at the tomb ofPadreEusebio Kino.,1974,31.3285057,-110.9450472
1,"October 21, 1974",Mexico,Magdalena de Kino,Met with PresidentLuis Echeverríaand laid a wreath at the tomb ofPadreEusebio Kino.,1974,30.6268798,-110.9614533
2,"November 19–22, 1974",USA,"Washington, DC","Return to Washington, DC",1974,38.9072,-77.0369
2,"November 19–22, 1974",Japan,Tokyo,State visit. Met with Prime MinisterKakuei Tanaka.,1974,35.6768601,139.7638947
2,"November 19–22, 1974",Japan,Kyoto,State visit. Met with Prime MinisterKakuei Tanaka.,1974,35.0115754,135.7681441
2,"November 22–23, 1974",South Korea,Seoul,Met with PresidentPark Chung Hee.,1974,37.5666791,126.9782914
2,"November 23–24, 1974",Soviet Union,Vladivostok,Met with General SecretaryLeonid Brezhnevanddiscussed limitations of strategic arms.,1974,60.0,98.0
3,"December 14–16, 1974",USA,"Washington, DC","Return to Washington, DC",1974,38.9072,-77.0369
3,"December 14–16, 1974",France,Fort-de-France,Met with PresidentValéry Giscard d'Estaing.,1974,14.6027962,-61.0676724
3,"December 14–16, 1974",France,Martinique,Met with PresidentValéry Giscard d'Estaing.,1974,14.6113732,-60.9620777
4,"May 28–31, 1975",USA,"Washington, DC","Return to Washington, DC",1975,38.9072,-77.0369
4,"May 28–31, 1975",Belgium,Brussels,Attended theNATO Summit Meeting. Addressed the North Atlantic Council and met separately with NATO heads of state and government.,1975,50.8465573,4.351697
4,"May 31 – June 1, 1975",Spain,Madrid,Met with GeneralissimoFrancisco Franco. Received keys to city from Mayor of Madrid Miguel Angel García-Lomas Mata.,1975,40.4167047,-3.7035825
4,"June 1–3, 1975",Austria,Salzburg,Met with Chancellor Bruno Kreisky and Egyptian President Anwar Sadat.,1975,47.7981346,13.0464806
4,"June 3, 1975",Italy,Rome,Met with PresidentGiovanni Leoneand Prime MinisterAldo Moro.,1975,41.8933203,12.4829321
4,"June 3, 1975",Vatican City,Apostolic Palace,Audience with PopePaul VI.,1975,41.9032459,12.4551867
5,"July 26–28, 1975",USA,"Washington, DC","Return to Washington, DC",1975,38.9072,-77.0369
5,"July 26–28, 1975",West Germany,Bonn,Met with PresidentWalter Scheeland ChancellorHelmut Schmidt.,1975,50.7842863,7.2605602
5,"July 26–28, 1975",West Germany,Linz am Rhein,Met with PresidentWalter Scheeland ChancellorHelmut Schmidt.,1975,50.56884,7.28445
5,"July 28–29, 1975",Poland,Warsaw,Official visit. Met with First SecretaryEdward Gierek.,1975,52.2319581,21.0067249
5,"July 28–29, 1975",Poland,Kraków,Official visit. Met with First SecretaryEdward Gierek.,1975,50.0619474,19.9368564
5,"July 29 – August 2, 1975",Finland,Helsinki,"Attended opening session of theConference on Security and Cooperation in Europe. Met with the heads of state and government of Finland, Great Britain, Turkey, West Germany, France, Italy and Spain. Also met with Soviet General Secretary Brezhnev. Signed the final act of the conference.",1975,60.1674881,24.9427473
5,"August 2–3, 1975",Romania,Bucharest,Official visit. Met with President Nicolae Ceaușescu.[137],1975,44.4361414,26.1027202
5,"August 2–3, 1975",Romania,Sinaia,Official visit. Met with President Nicolae Ceaușescu.[137],1975,45.3454687,25.5481055
5,"August 3–4, 1975",Yugoslavia,Belgrade,Official visit. Met with President Josip Broz Tito and Prime MinisterDžemal Bijedić.,1975,44.7880163,20.4522489
6,"November 15–17, 1975",USA,"Washington, DC","Return to Washington, DC",1975,38.9072,-77.0369
6,"November 15–17, 1975",France,Rambouillet,Attended the1st G6 summit.,1975,48.6452851,1.819207
7,"December 1–5, 1975",USA,"Washington, DC","Return to Washington, DC",1975,38.9072,-77.0369
7,"December 1–5, 1975",China,Peking,Official visit. Met with Party Chairman Mao Zedong and Vice PremierDeng Xiaoping.,1975,40.190632,116.412144
7,"December 5–6, 1975",Indonesia,Jakarta,Official visit. Met with President Suharto.,1975,-6.1754049,106.827168
7,"December 6–7, 1975",Philippines,Manila,Official visit. Met with PresidentFerdinand Marcos.,1975,14.5904492,120.9803621
