Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"May 16–18, 1961",USA,"Washington, DC",Start in DC,1961,38.9072,-77.0369
1,"May 16–18, 1961",Canada,Ottawa,State visit. Met with Governor GeneralGeorges Vanierand Prime MinisterJohn Diefenbaker. Addressed parliament.,1961,45.4208777,-75.6901106
2,"May 31 – June 3, 1961",USA,"Washington, DC",Start in DC,1961,38.9072,-77.0369
2,"May 31 – June 3, 1961",France,Paris,State visit. Addressed North Atlantic Council. Met with President Charles de Gaulle.,1961,48.8588897,2.320041
2,"June 3–4, 1961",Austria,Vienna,Met with PresidentAdolf Schärf.Held talkswith Soviet Premier Nikita Khrushchev.,1961,48.2083537,16.3725042
2,"June 4–5, 1961",United Kingdom,London,Private visit. Met with Queen Elizabeth II and Prime Minister Harold Macmillan.,1961,51.5074456,-0.1277653
3,"December 16–17, 1961",USA,"Washington, DC",Start in DC,1961,38.9072,-77.0369
3,"December 16–17, 1961",Venezuela,Caracas,Met with PresidentRómulo Betancourt.,1961,10.5060934,-66.9146008
3,"December 17, 1961",Colombia,Bogotá,Met with PresidentAlberto Lleras Camargo.,1961,4.711011,-74.0720917
4,"December 21–22, 1961",USA,"Washington, DC",Start in DC,1961,38.9072,-77.0369
4,"December 21–22, 1961",Bermuda,Hamilton,Met with Prime Minister Harold Macmillan.,1961,32.2942679,-64.7853167
5,"June 29 – July 1, 1962",USA,"Washington, DC",Start in DC,1962,38.9072,-77.0369
5,"June 29 – July 1, 1962",Mexico,Mexico,State visit. Met with PresidentAdolfo López Mateos.,1962,23.6585116,-102.0077097
5,"June 29 – July 1, 1962",Mexico,D.F.,State visit. Met with PresidentAdolfo López Mateos.,1962,19.4326296,-99.1331785
6,"December 18–21, 1962",USA,"Washington, DC",Start in DC,1962,38.9072,-77.0369
6,"December 18–21, 1962",The Bahamas,Nassau,Conferred with Prime Minister Harold Macmillan. ConcludedNassau Agreementon nuclear defense systems.,1962,25.0782266,-77.3383438
7,"March 18–20, 1963",USA,"Washington, DC",Start in DC,1963,38.9072,-77.0369
7,"March 18–20, 1963",Costa Rica,San José,Attended Conference of Presidents of the Central American Republics.,1963,9.9325427,-84.0795782
8,"June 23–25, 1963",USA,"Washington, DC",Start in DC,1963,38.9072,-77.0369
8,"June 23–25, 1963",West Germany,Bonn,Met with Chancellor Konrad Adenauer and other officials.,1963,50.7842863,7.2605602
8,"June 23–25, 1963",West Germany,Cologne,Met with Chancellor Konrad Adenauer and other officials.,1963,51.0947599,6.8189005
8,"June 23–25, 1963",West Germany,Frankfurt,Met with Chancellor Konrad Adenauer and other officials.,1963,50.1050925,8.5859703
8,"June 23–25, 1963",West Germany,Wiesbaden,Met with Chancellor Konrad Adenauer and other officials.,1963,50.08258,8.24932
8,"June 26, 1963",West Germany,West Berlin,"Delivered several public addresses, including ""Ich bin ein Berliner"" speech.",1963,52.5601976,12.9823712
8,"June 26–29, 1963",Ireland,Dublin,Addressed Oireachtas(parliament). Visited ancestral home.[214],1963,53.3493795,-6.2605593
8,"June 26–29, 1963",Ireland,Wexford,Addressed Oireachtas(parliament). Visited ancestral home.[214],1963,52.3367671,-6.4601397
8,"June 26–29, 1963",Ireland,Cork,Addressed Oireachtas(parliament). Visited ancestral home.[214],1963,51.8985136,-8.4726423
8,"June 26–29, 1963",Ireland,Galway,Addressed Oireachtas(parliament). Visited ancestral home.[214],1963,53.2744122,-9.0490601
8,"June 26–29, 1963",Ireland,Limerick,Addressed Oireachtas(parliament). Visited ancestral home.[214],1963,52.661252,-8.6301239
8,"June 29–30, 1963",United Kingdom,Birch Grove,Informal visit with Prime Minister Harold Macmillan at his home.,1963,52.7829554,-0.1359371
8,"July 1–2, 1963",Italy,Rome,"Met with PresidentAntonio Segni, Italian andNATOofficials.",1963,41.8933203,12.4829321
8,"July 1–2, 1963",Italy,Naples,"Met with PresidentAntonio Segni, Italian andNATOofficials.",1963,40.8358846,14.2487679
8,"July 2, 1963",Vatican City,Apostolic Palace,Audience with the newly electedPope Paul VI.,1963,41.9032459,12.4551867
