Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"September 16, 1964",USA,"Washington, DC",Start in DC,1964,38.9072,-77.0369
1,"September 16, 1964",Canada,Vancouver,Informal visit. Met with Prime MinisterLester B. Pearsonin ceremonies related to theColumbia River Treaty.,1964,49.2608724,-123.113952
2,"April 14–15, 1966",USA,"Washington, DC",Start in DC,1966,38.9072,-77.0369
2,"April 14–15, 1966",Mexico,Mexico,Informal visit. Met with PresidentGustavo Díaz Ordaz.,1966,23.6585116,-102.0077097
2,"April 14–15, 1966",Mexico,D.F.,Informal visit. Met with PresidentGustavo Díaz Ordaz.,1966,19.4326296,-99.1331785
3,"August 21–22, 1966",USA,"Washington, DC",Start in DC,1966,38.9072,-77.0369
3,"August 21–22, 1966",Canada,Campobello Island,Laid cornerstone atRoosevelt Campobello International Park. Conferred informally with Prime Minister Lester B. Pearson.,1966,44.8938472,-66.9193702
3,"August 21–22, 1966",Canada,Chamcook,Laid cornerstone atRoosevelt Campobello International Park. Conferred informally with Prime Minister Lester B. Pearson.,1966,45.1267035,-67.0713173
4,"October 19–20, 1966",USA,"Washington, DC",Start in DC,1966,38.9072,-77.0369
4,"October 19–20, 1966",New Zealand,Wellington,State visit. Met with Prime MinisterKeith Holyoake.,1966,-41.2887953,174.7772114
4,"October 20–23, 1966",Australia,Canberra,"State visit. Met with Governor-GeneralRichard Caseyand Prime MinisterHarold Holt. Intended as a ""thank-you"" visit for the Australian government's solid support for the Vietnam War effort, the president andfirst ladywere greeted by demonstrations from anti-war protesters.[288]",1966,-35.2975906,149.1012676
4,"October 20–23, 1966",Australia,Melbourne,"State visit. Met with Governor-GeneralRichard Caseyand Prime MinisterHarold Holt. Intended as a ""thank-you"" visit for the Australian government's solid support for the Vietnam War effort, the president andfirst ladywere greeted by demonstrations from anti-war protesters.[288]",1966,-37.8142454,144.9631732
4,"October 20–23, 1966",Australia,Sydney,"State visit. Met with Governor-GeneralRichard Caseyand Prime MinisterHarold Holt. Intended as a ""thank-you"" visit for the Australian government's solid support for the Vietnam War effort, the president andfirst ladywere greeted by demonstrations from anti-war protesters.[288]",1966,-33.8698439,151.2082848
4,"October 20–23, 1966",Australia,Brisbane,"State visit. Met with Governor-GeneralRichard Caseyand Prime MinisterHarold Holt. Intended as a ""thank-you"" visit for the Australian government's solid support for the Vietnam War effort, the president andfirst ladywere greeted by demonstrations from anti-war protesters.[288]",1966,-27.4689682,153.0234991
4,"October 20–23, 1966",Australia,Townsville,"State visit. Met with Governor-GeneralRichard Caseyand Prime MinisterHarold Holt. Intended as a ""thank-you"" visit for the Australian government's solid support for the Vietnam War effort, the president andfirst ladywere greeted by demonstrations from anti-war protesters.[288]",1966,-19.2569391,146.8239537
4,"October 24–26, 1966",Philippines,Manila,"Attended asummitwith the heads of State and government of Australia, South Korea, New Zealand, the Philippines, South Vietnam, and Thailand.[289]The meeting ended with pronouncements to stand fast against communist aggression and to promote ideals of democracy and development in Vietnam and across Asia.[290]",1966,14.5904492,120.9803621
4,"October 24–26, 1966",Philippines,Los Baños,"Attended asummitwith the heads of State and government of Australia, South Korea, New Zealand, the Philippines, South Vietnam, and Thailand.[289]The meeting ended with pronouncements to stand fast against communist aggression and to promote ideals of democracy and development in Vietnam and across Asia.[290]",1966,14.1775648,121.2214303
4,"October 24–26, 1966",Philippines,Corregidor,"Attended asummitwith the heads of State and government of Australia, South Korea, New Zealand, the Philippines, South Vietnam, and Thailand.[289]The meeting ended with pronouncements to stand fast against communist aggression and to promote ideals of democracy and development in Vietnam and across Asia.[290]",1966,9.6928384,126.0774192
4,"October 26, 1966",South Vietnam,Cam Ranh Bay,Visited U.S. military personnel.,1966,11.0,107.0
4,"October 27–30, 1966",Thailand,Bangkok,State visit. Met with KingBhumibol Adulyadej.,1966,13.7524938,100.4935089
4,"October 30–31, 1966",Malaysia,Kuala Lumpur,State visit. Met with Prime MinisterTunku Abdul Rahman,1966,3.1526589,101.7022205
4,"October 31 –November 2, 1966",South Korea,Seoul,State visit. Met with PresidentPark Chung-heeand Prime MinisterChung Il-kwon. Addressed National Assembly.,1966,37.5666791,126.9782914
4,"October 31 –November 2, 1966",South Korea,Suwon,State visit. Met with PresidentPark Chung-heeand Prime MinisterChung Il-kwon. Addressed National Assembly.,1966,37.2633325,127.0287472
5,"December 3, 1966",USA,"Washington, DC",Start in DC,1966,38.9072,-77.0369
5,"December 3, 1966",Mexico,Ciudad Acuña,Informal meeting with President Gustavo Díaz Ordaz. Inspected construction ofAmistad Dam.,1966,29.3248796,-100.9322287
6,"April 11–14, 1967",USA,"Washington, DC",Start in DC,1967,38.9072,-77.0369
6,"April 11–14, 1967",Uruguay,Punta del Este,Summit meeting with Latin Americanheads of state.,1967,-34.9632342,-54.9439981
6,"April 14, 1967",Suriname,Paramaribo,Refueling stop en route from Uruguay.,1967,5.8241764,-55.1662813
7,"April 23–26, 1967",USA,"Washington, DC",Start in DC,1967,38.9072,-77.0369
7,"April 23–26, 1967",West Germany,Bonn,Attended the funeral of ChancellorKonrad Adenauerand conversed with various heads of state.,1967,50.7842863,7.2605602
8,"May 25, 1967",USA,"Washington, DC",Start in DC,1967,38.9072,-77.0369
8,"May 25, 1967",Canada,Montreal,Met with Governor GeneralRoland Michener. AttendedExpo 67. Conferred informally with Prime Minister Lester B. Pearson.,1967,45.5031824,-73.5698065
8,"May 25, 1967",Canada,Ottawa,Met with Governor GeneralRoland Michener. AttendedExpo 67. Conferred informally with Prime Minister Lester B. Pearson.,1967,45.4208777,-75.6901106
9,"October 28, 1967",USA,"Washington, DC",Start in DC,1967,38.9072,-77.0369
9,"October 28, 1967",Mexico,Ciudad Juarez,Attended transfer ofEl Chamizalfrom the U.S. to Mexico. Conferred with President Gustavo Díaz Ordaz.,1967,31.7372575,-106.485655
10,"December 21–22, 1967",USA,"Washington, DC",Start in DC,1967,38.9072,-77.0369
10,"December 21–22, 1967",Australia,Canberra,Attended the funeral of Prime Minister Harold Holt.[288]Conferred with other attending heads of state.,1967,-35.2975906,149.1012676
10,"December 21–22, 1967",Australia,Melbourne,Attended the funeral of Prime Minister Harold Holt.[288]Conferred with other attending heads of state.,1967,-37.8142454,144.9631732
10,"December 23, 1967",Thailand,Khorat,Visited U.S. military personnel.,1967,14.9747339,102.0981161
10,"December 23, 1967",South Vietnam,Cam Ranh Bay,"Visited U.S. military personnel. Addressing the troops, Johnson declares ""...all the challenges have been met. The enemy is not beaten, but he knows that he has met his master in the field.""[244]",1967,11.0,107.0
10,"December 23, 1967",Pakistan,Karachi,Met with PresidentAyub Khan.,1967,24.8546842,67.0207055
10,"December 23, 1967",Italy,Rome,Met with PresidentGiuseppe Saragatand Prime MinisterAldo Moro.,1967,41.8933203,12.4829321
10,"December 23, 1967",Vatican City,Apostolic Palace,Audience withPope Paul VI.,1967,41.9032459,12.4551867
11,"July 6–8, 1968",USA,"Washington, DC",Start in DC,1968,38.9072,-77.0369
11,"July 6–8, 1968",El Salvador,San Salvador,Attended the Conference of Presidents of the Central American Republics.,1968,13.6989939,-89.1914249
11,"July 8, 1968",Nicaragua,Managua,Informal visit. Met with PresidentAnastasio Somoza Debayle.,1968,12.1544035,-86.2737642
11,"July 8, 1968",Costa Rica,San José,Informal visit. Met with PresidentJosé Joaquín Trejos Fernández.,1968,9.9325427,-84.0795782
11,"July 8, 1968",Honduras,San Pedro Sula,Informal visit. Met with PresidentOswaldo López Arellano.,1968,15.5062156,-88.0248937
11,"July 8, 1968",Guatemala,Guatemala City,Informal visit. Met with PresidentJulio César Méndez Montenegro.,1968,14.6416142,-90.5132836
