Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,February 19,USA,"Washington, DC",Start in DC,2009,38.9072,-77.0369
1,February 19,Canada,Ottawa,"Met withGovernor GeneralMichaëlle Jean,Prime MinisterStephen Harper, andLeader of the OppositionMichael Ignatieff. As Obama's first foreign trip, it was regarded in media as a ""practice visit"" for future diplomatic travel.[2][3][4]",2009,45.4208777,-75.6901106
2,March 31 – April 3,USA,"Washington, DC",Start in DC,2009,38.9072,-77.0369
2,March 31 – April 3,United Kingdom,London,"Attended theG20 summit.[5]Met withPrime MinisterGordon Brown,[6]Leader of the OppositionDavid Cameron,[7]and with QueenElizabeth II.[8][9]",2009,51.5074456,-0.1277653
2,April 3–4,France,Strasbourg,Attended theNATO Summit Meeting.[10][11][12][13],2009,48.584614,7.7507127
2,April 3–4,France,Strasbourg,Attended theNATO Summit Meeting.[10][11][12][13],2009,48.584614,7.7507127
2,April 4–5,Czech Republic,Prague,Attended the U.S.-EU Summit Meeting. Met withPresidentVáclav Klaus. Delivered public speech on nuclear disarmament inHradčany Square.[14][15],2009,50.0596288,14.4464593
2,April 5–7,Turkey,Ankara,"Met withPresidentAbdullah GülandPrime MinisterRecep Tayyip Erdoğan, delivered a speech to theGrand National Assembly, and participated in a wreath laying ceremony atAnitkabir Mausoleum.[16]He also met with Ecumenical PatriarchBartholomew I of Constantinopleof theEastern Orthodox Churchin Istanbul,[17]attended theAlliance of Civilizationsforum,[18]visited theHagia SophiaandBlue Mosque, and held a town hall with students at the Tophane Cultural Center.[19][20][21][22]",2009,39.9207759,32.8540497
2,April 5–7,Turkey,Istanbul,"Met withPresidentAbdullah GülandPrime MinisterRecep Tayyip Erdoğan, delivered a speech to theGrand National Assembly, and participated in a wreath laying ceremony atAnitkabir Mausoleum.[16]He also met with Ecumenical PatriarchBartholomew I of Constantinopleof theEastern Orthodox Churchin Istanbul,[17]attended theAlliance of Civilizationsforum,[18]visited theHagia SophiaandBlue Mosque, and held a town hall with students at the Tophane Cultural Center.[19][20][21][22]",2009,41.006381,28.9758715
2,April 7–8,Iraq,Baghdad,Met with PresidentJalal Talabaniand Prime MinisterNouri al-Maliki. Visited with U.S. troops.[23][24],2009,33.3061701,44.3872213
3,April 16–17,USA,"Washington, DC",Start in DC,2009,38.9072,-77.0369
3,April 16–17,Mexico,Mexico City,Met with PresidentFelipe Calderón.[25][26],2009,19.4326296,-99.1331785
3,April 17–18,Trinidad and Tobago,Port of Spain,Attended the5th Summit of the Americas.[27][28],2009,10.6572678,-61.5180173
4,June 3–4,USA,"Washington, DC",Start in DC,2009,38.9072,-77.0369
4,June 3–4,Saudi Arabia,Riyadh,Met withKing Abdullahand discussed various regional issues.[29][30],2009,24.638916,46.7160104
4,June 4,Egypt,Cairo,Met with PresidentHosni Mubarak. Toured theGiza Pyramidsand theSultan Hassan Mosque. Delivered aspeechatCairo University.[29][31],2009,30.0443879,31.2357257
4,June 4–5,Germany,Dresden,Met with ChancellorAngela Merkel. Visited theBuchenwald concentration campand visited wounded U.S. military personnel at theLandstuhl Regional Medical Center.[32],2009,51.0493286,13.7381437
4,June 4–5,Germany,Weimar,Met with ChancellorAngela Merkel. Visited theBuchenwald concentration campand visited wounded U.S. military personnel at theLandstuhl Regional Medical Center.[32],2009,50.9793301,11.3297921
4,June 4–5,Germany,Landstuhl,Met with ChancellorAngela Merkel. Visited theBuchenwald concentration campand visited wounded U.S. military personnel at theLandstuhl Regional Medical Center.[32],2009,49.4143311,7.5722301
