Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,March 10–11,USA,"Washington, DC",Start in DC,1981,38.9072,-77.0369
1,March 10–11,Canada,Ottawa,State visit. Met with Governor GeneralEdward Schreyerand Prime MinisterPierre Trudeau. Addressed parliament.,1981,45.4208777,-75.6901106
2,July 19–21,USA,"Washington, DC",Start in DC,1981,38.9072,-77.0369
2,July 19–21,Canada,Ottawa,Attended the7th G7 summit.,1981,45.4208777,-75.6901106
2,July 19–21,Canada,Montebello,Attended the7th G7 summit.,1981,45.6512171,-74.942673
3,October 21–24,USA,"Washington, DC",Start in DC,1981,38.9072,-77.0369
3,October 21–24,Mexico,Cancun,"Attended theNorth–South Summiton International Cooperation and Development. Met with the heads of state and government of Algeria, Bangladesh, Canada, China, France, Guyana, India, Japan, Mexico, Nigeria, the Philippines, Saudi Arabia, Sweden, Tanzania, the United Kingdom, Venezuela and Yugoslavia.",1981,21.1527467,-86.8425761
4,April 7–8,USA,"Washington, DC",Start in DC,1982,38.9072,-77.0369
4,April 7–8,Jamaica,Kingston,Official visit. Met with Prime MinisterEdward Seaga.,1982,17.9712148,-76.7928128
4,April 8–11,Barbados,Bridgetown,"Official visit. Met with the prime ministers of Barbados, Dominica, Antigua and Barbuda, St. Christopher and Nevis, and St. Vincent and the Grenadines.",1982,13.0977832,-59.6184184
5,June 2–7,USA,"Washington, DC",Start in DC,1982,38.9072,-77.0369
5,June 2–7,France,Paris,State visit. Met with PresidentFrançois Mitterrandand Prime MinisterPierre Mauroy.,1982,48.8588897,2.320041
5,June 5–6,France,Versailles,Attended the8th G7 summit.,1982,48.8035403,2.1266886
5,June 7,Italy,Rome,Met with PresidentSandro Pertiniand PremierGiovanni Spadolini.,1982,41.8933203,12.4829321
5,June 7,Vatican City,Apostolic Palace,Audience withPope John Paul II.,1982,41.9032459,12.4551867
5,June 7–9,United Kingdom,London,State visit. Met withQueen Elizabeth IIand Prime MinisterMargaret Thatcher. Addressed Parliament.,1982,51.5074456,-0.1277653
5,June 7–9,United Kingdom,Windsor Castle,State visit. Met withQueen Elizabeth IIand Prime MinisterMargaret Thatcher. Addressed Parliament.,1982,51.4837886,-0.6040419
