Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,"July 15, 1945",USA,"Washington, DC",Start in DC,1945,38.9072,-77.0369
1,"July 15, 1945",Belgium,Antwerp,Disembarked en route to Potsdam.,1945,51.2211097,4.3997081
1,"July 15, 1945",Belgium,Brussels,Disembarked en route to Potsdam.,1945,50.8465573,4.351697
1,"July 16 – August 2, 1945",Germany,Potsdam,AttendedPotsdam Conferencewith British Prime Ministers Winston Churchill andClement Attleeand USSR leaderJoseph Stalin.,1945,52.4009309,13.0591397
1,"August 2, 1945",United Kingdom,Plymouth,Informal meeting with KingGeorge VI.,1945,50.3714122,-4.1424451
2,"August 23–30, 1946",USA,"Washington, DC",Start in DC,1946,38.9072,-77.0369
2,"August 23–30, 1946",Bermuda,Hamilton,Informal visit. Met with Governor GeneralRalph Leathamand inspectedU.S. military facilities.,1946,32.2942679,-64.7853167
3,"March 3–6, 1947",USA,"Washington, DC",Start in DC,1947,38.9072,-77.0369
3,"March 3–6, 1947",Mexico,Mexico,State visit. Met with PresidentMiguel Alemán Valdés.,1947,23.6585116,-102.0077097
3,"March 3–6, 1947",Mexico,D.F.,State visit. Met with PresidentMiguel Alemán Valdés.,1947,19.4326296,-99.1331785
4,"June 10–12, 1947",USA,"Washington, DC",Start in DC,1947,38.9072,-77.0369
4,"June 10–12, 1947",Canada,Ottawa,Official visit. Met with Governor GeneralHarold Alexanderand Prime MinisterMackenzie Kingand addressed Parliament.,1947,45.4208777,-75.6901106
5,"September 1–7, 1947",USA,"Washington, DC",Start in DC,1947,38.9072,-77.0369
5,"September 1–7, 1947",Brazil,Rio de Janeiro,State visit. AddressedInter-American Conference for the Maintenance of Continental Peace and Securityand the Brazilian Congress.,1947,-22.9110137,-43.2093727
