Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
1,May 20–22,USA,"Washington, DC",Start in DC,2017,38.9072,-77.0369
1,May 20–22,Saudi Arabia,Riyadh,"Met with KingSalmanand Muslim leaders at theRiyadh Summit.[1]Signed a $110 billion arms deal with Saudi Arabia,[2]and was honored with theCollar of Abdulaziz Al Saud, his first foreign order.[3]Visited, along with First LadyMelania Trump, theNational Museum of Saudi Arabia.[4]",2017,24.638916,46.7160104
1,May 22–23,Israel,Jerusalem,"Met with PresidentReuven Rivlinand Prime MinisterBenjamin Netanyahu.[1]Visited theWestern Walland theChurch of the Holy Sepulchre, the first sitting U.S. president to do so.[5]Visited theYad Vashemand delivered an address at theIsrael Museum.[6]",2017,31.7788242,35.2257626
1,May 23–24,Italy,Rome,Met with PresidentSergio Mattarellaand Prime MinisterPaolo Gentiloni.[8],2017,41.8933203,12.4829321
1,May 24,Vatican City,Vatican City,Met withPope Francis.[1][9],2017,41.9034912,12.4528349
1,May 24–25,Belgium,Brussels,"Met with KingPhilippeand Prime MinisterCharles Michel. Attended the28th NATO summitand the U.S.-EU Summit Meeting, where he also met with French presidentEmmanuel Macron.[10][11][12]",2017,50.8465573,4.351697
1,May 25–27,Italy,Taormina,Attended the43rd G7 summit. Also held a bilateral meeting with Japanese prime ministerShinzō Abe.,2017,37.8512218,15.2830191
2,July 5–6,USA,"Washington, DC",Start in DC,2017,38.9072,-77.0369
2,July 5–6,Poland,Warsaw,Met with PresidentAndrzej Dudaand Croatian presidentKolinda Grabar-Kitarovic.[13][14]Attended the 2nd summit of theThree Seas Initiative.[15]Hedelivered a speechto the People of Poland in front of theWarsaw Uprising Monumentat theKrasiński Squareto honor victims of the past Nazi occupation and communist domination in Poland.[16],2017,52.2319581,21.0067249
2,July 6–8,Germany,Hamburg,"Attended theG-20 summit.[17]Also held bilateral meetings with British prime ministerTheresa May, Chinese presidentXi Jinping, German chancellorAngela Merkel, Indonesian presidentJoko Widodo, Japanese prime ministerShinzō Abe, Mexican presidentEnrique Peña Nieto, Russian presidentVladimir Putinand Singaporean prime ministerLee Hsien Loong.[18][19][20]",2017,53.550341,10.000654
3,July 13–14,USA,"Washington, DC",Start in DC,2017,38.9072,-77.0369
3,July 13–14,France,Paris,Met with PresidentEmmanuel Macron.[21]Participated in theBastille Daycelebrations marking the 100th anniversary of theentry of the United StatesintoWorld War I.[22],2017,48.8588897,2.320041
4,November 5–7,USA,"Washington, DC",Start in DC,2017,38.9072,-77.0369
4,November 5–7,Japan,Kawagoe,Met with EmperorAkihitoand Prime MinisterShinzō Abe.,2017,35.9251145,139.4856927
4,November 5–7,Japan,Tokyo,Met with EmperorAkihitoand Prime MinisterShinzō Abe.,2017,35.6768601,139.7638947
4,November 7–8,South Korea,Osan,"State visit. Met with South Korean presidentMoon Jae-in, and addressed the South Korean National Assembly. Also met with troops from theEighth United States ArmyatCamp Humphreys.[23]This was the president's first trip to a U.S. combat zone.",2017,37.1499376,127.0774625
4,November 7–8,South Korea,Seoul,"State visit. Met with South Korean presidentMoon Jae-in, and addressed the South Korean National Assembly. Also met with troops from theEighth United States ArmyatCamp Humphreys.[23]This was the president's first trip to a U.S. combat zone.",2017,37.5666791,126.9782914
4,November 8–10,China,Beijing,State visit.[24]President Trump arrived inBeijingto meet with General Secretary and PresidentXi Jinpingand PremierLi Keqiang.,2017,40.190632,116.412144
4,November 10–12,Vietnam,Da Nang,"State visit. Met with PresidentTrần Đại Quang, Prime MinisterNguyễn Xuân Phúcand Communist Party general secretaryNguyễn Phú Trọng. Attended theAPEC Vietnam 2017.[25][26]",2017,16.068,108.212
4,November 10–12,Vietnam,Hanoi,"State visit. Met with PresidentTrần Đại Quang, Prime MinisterNguyễn Xuân Phúcand Communist Party general secretaryNguyễn Phú Trọng. Attended theAPEC Vietnam 2017.[25][26]",2017,21.0283334,105.854041
4,November 12–14,Philippines,Manila,Attended the31st ASEAN Summit. Met with PresidentRodrigo Duterte.[27],2017,14.5904492,120.9803621
4,November 12–14,Philippines,Pasay,Attended the31st ASEAN Summit. Met with PresidentRodrigo Duterte.[27],2017,14.5436995,120.9946503
