Rank,Name,Country,Office,City,Lat,Lng,DistanceToVatican,CardinalLabel
217,Mykola Bychok CSsR,Australia[u],"Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",Melbourne,-37.8142454,144.9631732,15985.03,"Cardinal Mykola Bychok CSsR: Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)"
187,Giorgio Marengo IMC,Mongolia[o],Apostolic Prefect of Ulaanbaatar,Ulaanbaatar,47.9184676,106.9177016,7003.83,Cardinal Giorgio Marengo IMC: Apostolic Prefect of Ulaanbaatar
201,Américo Aguiar,Portugal,Bishop of Setúbal,Setubal,38.5241783,-8.8932341,1850.37,Cardinal Américo Aguiar: Bishop of Setúbal
252,George Koovakad,India,"Prefect of the Dicastery for Interreligious Dialogue[d]
(Syro-Malabar Church)",India,22.3511148,78.6677428,6446.36,"Cardinal George Koovakad: Prefect of the Dicastery for Interreligious Dialogue[d]
(Syro-Malabar Church)"
249,Rolandas Makrickas,Lithuania,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,Lithuania,55.3500003,23.7499997,1706.66,Cardinal Rolandas Makrickas: Coadjutor Archpriest of the Papal Basilica of Saint Mary Major
216,Frank Leo,Canada,Archbishop of Toronto,Toronto,43.6534817,-79.3839347,7096.9,Cardinal Frank Leo: Archbishop of Toronto
200,François-Xavier Bustillo OFMConv,France[q],Bishop of Ajaccio,Ajaccio,41.9263991,8.7376029,308.25,Cardinal François-Xavier Bustillo OFMConv: Bishop of Ajaccio
181,Virgílio do Carmo da Silva SDB,East Timor,Archbishop of Díli,Dili,-8.5536809,125.5784093,12552.65,Cardinal Virgílio do Carmo da Silva SDB: Archbishop of Díli
184,Paulo Cezar Costa,Brazil,Archbishop of Brasília,Brasilia,-10.3333333,-53.2,8832.44,Cardinal Paulo Cezar Costa: Archbishop of Brasília
138,Dieudonné Nzapalainga CSSp,Central African Republic,Archbishop of Bangui,Bangui,4.3635118,18.5835913,4202.84,Cardinal Dieudonné Nzapalainga CSSp: Archbishop of Bangui
214,Roberto Repole,Italy,Archbishop of Turin and Bishop of Susa,Susa,45.1372115,7.0539789,565.19,Cardinal Roberto Repole: Archbishop of Turin and Bishop of Susa
227,José Tolentino de Mendonça,Portugal,Prefect of the Dicastery for Culture and Education[d],Portugal,39.6621648,-8.1353519,1751.31,Cardinal José Tolentino de Mendonça: Prefect of the Dicastery for Culture and Education[d]
196,José Cobo Cano,Spain,Archbishop of Madrid,Madrid,40.4167047,-3.7035825,1364.03,Cardinal José Cobo Cano: Archbishop of Madrid
190,Pierbattista Pizzaballa OFM,Jerusalem[p],Latin Patriarch of Jerusalem,Jerusalem,31.7788242,35.2257626,2310.75,Cardinal Pierbattista Pizzaballa OFM: Latin Patriarch of Jerusalem
194,Grzegorz Ryś,Poland,Archbishop of Łódź,Lodz,51.7687323,19.4569911,1218.62,Cardinal Grzegorz Ryś: Archbishop of Łódź
195,Stephen Ameyu Martin Mulla,South Sudan,Archbishop of Juba,Juba,4.8459246,31.5959173,4523.65,Cardinal Stephen Ameyu Martin Mulla: Archbishop of Juba
213,Dominique Mathieu OFMConv,Iran[t],Archbishop of Tehran–Isfahan,Tehran,35.6892523,51.3896004,3421.66,Cardinal Dominique Mathieu OFMConv: Archbishop of Tehran–Isfahan
177,Peter Okpaleke,Nigeria,Bishop of Ekwulobia,Ekwulobia,6.3912663,7.5042965,3964.47,Cardinal Peter Okpaleke: Bishop of Ekwulobia
218,Domenico Battaglia,Italy,Archbishop of Naples,Naples,40.8358846,14.2487679,191.32,Cardinal Domenico Battaglia: Archbishop of Naples
